model,accuracy,precision,recall,f1_score,roc_auc,latency_ms_per_sample
Random Forest,0.9998333333333334,0.9999639327706844,0.9998557466911896,0.9999098368046164,0.9999981738077376,0.0043635924657185
SVM,0.9905,0.9997450651904728,0.989974395037686,0.9948357403011578,0.9990993854958315,0.1229230086008707
CNN-LSTM,0.9918308825981128,0.9955630906860976,0.995599004364922,0.9955810472016304,0.998936579672816,0.1117874529763103
