model,accuracy,precision,recall,f1_score,roc_auc,latency_ms_per_sample
Random Forest,0.9998333333333334,0.9999639327706845,0.9998557466911897,0.9999098368046163,0.9999981738077375,0.004363592465718587
SVM,0.9905,0.9997450651904727,0.9899743950376861,0.9948357403011578,0.9990993854958317,0.12292300860087077
