model,accuracy,precision,recall,f1_score,roc_auc,latency_ms_per_sample
Random Forest,0.9998333333333334,0.9999639327706844,0.9998557466911896,0.9999098368046164,0.9999981738077376,0.0054169336954752
SVM,0.9905,0.9997450651904728,0.989974395037686,0.9948357403011578,0.9990993854958315,0.1164276599884033
CNN-LSTM,0.9934647060784902,0.998478756927089,0.9944446448540818,0.9964576179287908,0.9990256436579276,0.0867188893036726
